name,naics_description,naics_code,address,city,state,county,zip,phone,website,excess_food_low,excess_food_high,unique_id,data_source
2 English Ladies,Retail Bakeries,311811,2560 Dominic Dr Ste A,Chico,CA,Butte,95928,5305912307,www.twoenglishladies.com,2.6273425,8.427325,FMP12297,EPA 2023
21seeds Inc.,Wineries,312130,912 Avon St,Belmont,CA,San Mateo,94002,3104158605,www.21seeds.com,19.305727,61.92403,FMP29501,EPA 2023
"22 Hundred Cellars, Inc",Wineries,312130,3070 Limestone Way,Paso Robles,CA,San Luis Obispo,93446,8052344920,,19.933247,63.93683000000001,FMP29961,EPA 2023
2322 Vineyard LLC,Wineries,312130,2322 Vineyard Ave,Los Angeles,CA,Los Angeles,90016,,,22.32413,71.6057,FMP31196,EPA 2023
2401 South Vineyard Avenue LLC,Wineries,312130,2401 S Vineyard Ave,Ontario,CA,San Bernardino,91761,9099235396,,22.1805265,71.14508500000001,FMP31104,EPA 2023
26 Brix LLC,Wineries,312130,33401 Ortega Hwy,San Juan Capistrano,CA,Orange,92693,7077098787,www.bcellars.com,,,FMP39709,EPA 2023
2990 Grand Avenue LLC,Wineries,312130,2990 Grand Ave,Los Olivos,CA,Santa Barbara,93441,,www.refugioranch.com,19.1463295,61.412755000000004,FMP29352,EPA 2023
2nd Nature LLC,Wet Corn Milling,311221,321 Frederick St,Santa Cruz,CA,Santa Cruz,95062,8314219023,www.2ndnaturellc.com,,,FMP41881,EPA 2023
"2nd Story Bakeshop, LLC",Retail Bakeries,311811,2162 Sufonet Dr,San Jose,CA,Santa Clara,95124,4083983728,www.2ndstorybakeshop.com,4.206769,13.49341,FMP15999,EPA 2023
"2plank Vineyards, LLC",Wineries,312130,6242 Ferris Sq,San Diego,CA,San Diego,92121,7602956612,www.2plankvineyards.com,30.2267215,96.953635,FMP33635,EPA 2023
3 Badge Beverage Corporation,Wineries,312130,32 Patten St,Sonoma,CA,Sonoma,95476,7073431167,www.3badge.com,87.5952465,280.965885,FMP36719,EPA 2023
"3 Oaks Vineyard, Inc.",Wineries,312130,8807 N Sunnyside Ave,Clovis,CA,Fresno,93619,,www.3oaksvineyard.com,15.2941835,49.056815,FMP26287,EPA 2023
"3 Potato, LLC",Retail Bakeries,311811,3573 Sunnymead CT,San Jose,CA,Santa Clara,95117,4086135873,,1.8666070000000001,5.98723,FMP8920,EPA 2023
3 Seas Bakery LLC,Retail Bakeries,311811,360 Grand Ave Ste 166,Oakland,CA,Alameda,94610,5109104496,,18.3464005,58.846945000000005,FMP28729,EPA 2023
3 Steves Winery,Wineries,312130,5700 Greenville Rd,Livermore,CA,Alameda,94550,8312398971,www.3steveswinery.com,4.8116845,15.433705000000002,FMP16804,EPA 2023
32 Below LLC,Retail Bakeries,311811,6362 E Andrews Ave,Fresno,CA,Fresno,93727,8177895717,,0.9754120000000001,3.12868,FMP4309,EPA 2023
"33rd Street Cellars, LLC",Wineries,312130,3320 Santiago St,San Francisco,CA,San Francisco,94116,4158158843,,19.8961205,63.817745,FMP29936,EPA 2023
"3730 Silverado Trail, LLC",Wineries,312130,3730 Silverado Trl N,Saint Helena,CA,Napa,94574,,,33.0109175,105.88407500000001,FMP34146,EPA 2023
3rd Street Bakery,Retail Bakeries,311811,917 Bluebell Way,San Luis Obispo,CA,San Luis Obispo,93401,8057041496,,14.669181,47.05209000000001,FMP25675,EPA 2023
400 Baker LLC,Retail Bakeries,311811,17602 17th St,Tustin,CA,Orange,92780,,,0.8867430000000001,2.8442700000000003,FMP1409,EPA 2023
401 Brew Street,Breweries,312120,401 B St Ste 300,San Diego,CA,San Diego,92101,8586920791,,18.891691,60.59599000000001,FMP29158,EPA 2023
41 Olive,Fats and Oils Refining and Blending,311225,10 Hughes Ste 105,Irvine,CA,Orange,92618,9495295487,www.41olive.com,6.2562525,20.067225,FMP18116,EPA 2023
"4110 Treat, LLC",Retail Bakeries,311811,1710 Belmont Rd,Concord,CA,Contra Costa,94520,,,1.467358,4.70662,FMP6222,EPA 2023
4-Paw Treats Inc,Retail Bakeries,311811,2345 Michael Faraday Dr,San Diego,CA,San Diego,92154,6198824609,,17.4637915,56.015935000000006,FMP28166,EPA 2023
"5 Star Bakery Products, LLC",Retail Bakeries,311811,581 Iowa Ave Ste A-B,Riverside,CA,Riverside,92507,8055011550,www.5starbakeryproducts.com,5.276998,16.92622,FMP17266,EPA 2023
"54 Vines, LLC",Wineries,312130,6942 Quito CT,Camarillo,CA,Ventura,93012,8052361679,,19.8464595,63.658455000000004,FMP29876,EPA 2023
55 Degree Wine,Wineries,312130,3111 Glendale Blvd Ste 2,Los Angeles,CA,Los Angeles,90039,3236625556,www.55degreewine.com,55.8103515,179.01433500000002,FMP35911,EPA 2023
"6500 Brem, LLC",Wineries,312130,4005 Hecker Pass Rd,Gilroy,CA,Santa Clara,95020,4088424100,www.jstephens.com,27.810955,89.20495000000001,FMP33112,EPA 2023
6630 Andis Wines C O Perf,Wineries,312130,11000 Shenandoah Rd,Plymouth,CA,Amador,95669,2092456177,www.andiswines.com,24.0699765,77.205585,FMP31908,EPA 2023
"689 Cellars, L.P.",Wineries,312130,135 3rd St Ste 100,San Rafael,CA,Marin,94901,,,1.733206,5.559340000000001,FMP8170,EPA 2023
7 & 8 LLC,Wineries,312130,4028 Spring Mountain Rd,Saint Helena,CA,Napa,94574,7079639425,www.vineyard7and8.com,37.9551815,121.743035,FMP34741,EPA 2023
7 Deadly Confections,Retail Bakeries,311811,1562 Ranch St,Perris,CA,Riverside,92571,,,0.8867430000000001,2.8442700000000003,FMP1249,EPA 2023
7 Seas Kombucha LLC,Soft Drink Manufacturing,312111,2745 Costebelle Dr,La Jolla,CA,San Diego,92037,,,11.335004,36.35756,FMP22745,EPA 2023
7 -Up RC Bottling Co of San Diego,Soft Drink Manufacturing,312111,7598 Trade St,San Diego,CA,San Diego,92121,8586958263,,17.0607265,54.723085000000005,FMP27846,EPA 2023
"714 N. Spaulding Ave., LLC",Retail Bakeries,311811,714 N Spaulding Ave,Los Angeles,CA,Los Angeles,90046,3106145693,www.maisonrichard.com,1.240147,3.9778300000000004,FMP5540,EPA 2023
"7787 St. Helena Hwy, L.P.",Wineries,312130,5091 Solano Ave,NAPA,CA,Napa,94558,,www.sthelena.com,1.8656,5.984,FMP8903,EPA 2023
7up Bottling,Soft Drink Manufacturing,312111,5604 Ashbourne Way,Antioch,CA,Contra Costa,94531,5107728573,,13.751539000000001,44.10871,FMP24919,EPA 2023
"828 Coffee, Inc.",Coffee and Tea Manufacturing,311920,5562 Club View Dr,Yorba Linda,CA,Orange,92886,7605800239,,24.142083,77.43687,FMP31922,EPA 2023
85c Bakery Cafe,Retail Bakeries,311811,1100 Irvine Blvd,Tustin,CA,Orange,92780,7145057885,,0.8867430000000001,2.8442700000000003,FMP1853,EPA 2023
85c Bakery Cafe,Retail Bakeries,311811,3361 Rosecrans St Ste A,San Diego,CA,San Diego,92110,,,0.8867430000000001,2.8442700000000003,FMP2259,EPA 2023
85c Bakery Cafe,Retail Bakeries,311811,24455 Magic Mountain Pkwy,Santa Clarita,CA,Los Angeles,91355,6612558585,,0.8867430000000001,2.8442700000000003,FMP3527,EPA 2023
85c Bakery Cafe,Retail Bakeries,311811,9046 Tampa Ave,Northridge,CA,Los Angeles,91324,8185769885,,0.8867430000000001,2.8442700000000003,FMP730,EPA 2023
"8th Street Bakery, Inc.",Retail Bakeries,311811,4152 W Washington Blvd,Los Angeles,CA,Los Angeles,90018,3235198207,,2.0174715,6.471135,FMP9644,EPA 2023
98 & Up,Soft Drink Manufacturing,312111,7922 Carlyle Dr,Riverside,CA,Riverside,92509,,,13.6188535,43.683115,FMP24795,EPA 2023
"A & R Bakery, Inc.",Retail Bakeries,311811,13221 Harbor Blvd,Garden Grove,CA,Orange,92843,,,2.5561635000000003,8.199015000000001,FMP12077,EPA 2023
A & R Distillery LLC,Distilleries,312140,2766 Via Orange Way Ste O,Spring Valley,CA,San Diego,91978,8584052278,,15.1133475,48.476775,FMP26142,EPA 2023
A 7 H Bakery,Retail Bakeries,311811,566 Paraiso Ave Ste D,Spring Valley,CA,San Diego,91977,6197543946,,1.998895,6.41155,FMP9510,EPA 2023
A and G Bakery Inc,Retail Bakeries,311811,12630 Raymer St,North Hollywood,CA,Los Angeles,91605,8187934777,,2.899683,9.300870000000002,FMP13165,EPA 2023
"A Dollicious Dessert, LLC",Retail Bakeries,311811,40703 Geyser St,Murrieta,CA,Riverside,92562,,,0.8867430000000001,2.8442700000000003,FMP2490,EPA 2023
"A Donkey and Goat, LLC",Wineries,312130,1340 5th St,Berkeley,CA,Alameda,94710,5108689174,www.a-donkey-and-goat-llc.hub.biz,14.285832000000001,45.822480000000006,FMP25361,EPA 2023
"A Girl, A Boy, & A Grape LLC",Wineries,312130,968 Capitola Dr,NAPA,CA,Napa,94559,,,2.367722,7.5945800000000006,FMP11268,EPA 2023
A Hardy/U S A Ltd,Wineries,312130,10810 Inland Ave,Jurupa Valley,CA,Riverside,91752,,www.levecke.com,20.3259505,65.19644500000001,FMP30150,EPA 2023
A La Citron Bakers,Retail Bakeries,311811,12164 Oxnard St APT 10,North Hollywood,CA,Los Angeles,91606,,,0.8867430000000001,2.8442700000000003,FMP891,EPA 2023
A M E X Distribution Co,Commercial Bakeries,311812,11085 Commercial Pkwy,Castroville,CA,Monterey,95012,8316338551,,7.9458395,25.486655000000003,FMP19729,EPA 2023
A Neva Bakery Inc,Retail Bakeries,311811,26882 The Old Rd,Valencia,CA,Los Angeles,91381,,,0.8867430000000001,2.8442700000000003,FMP1973,EPA 2023
A Vie Bakery,Retail Bakeries,311811,923 S Bascom Ave,San Jose,CA,Santa Clara,95128,4086841888,www.aviebakery.com,1.499211,4.80879,FMP6606,EPA 2023
A&J Bakery,Retail Bakeries,311811,1300 E Main St Ste 102,Alhambra,CA,Los Angeles,91801,6262825436,,2.5166785,8.072365000000001,FMP11919,EPA 2023
A&M Dessert LLC,Retail Bakeries,311811,7708 Agate Beach Way,Antelope,CA,Sacramento,95843,,,0.8867430000000001,2.8442700000000003,FMP3316,EPA 2023
"A. Nonini Winery, Inc.",Wineries,312130,2640 N Dickenson Ave,Fresno,CA,Fresno,93723,5592751936,www.noniniwinery.com,25.490297,81.76133,FMP32359,EPA 2023
A. Rafanelli Winery and Vineyards LP,Wineries,312130,4685 W Dry Creek Rd,Healdsburg,CA,Sonoma,95448,7074331385,www.arafanelliwinery.com,3.21127,10.3003,FMP14078,EPA 2023
"A.C. Calderoni & Co., Inc.",All Other Miscellaneous Food Manufacturing,311999,99 N Hill Dr,Brisbane,CA,San Mateo,94005,4154682282,www.accalderoni.com,30.405941000000002,97.52849,FMP33678,EPA 2023
"A.J. Sons, Inc.",Frozen Specialty Food Manufacturing,311412,2975 Laguna Canyon Rd,Laguna Beach,CA,Orange,92651,9494971741,www.langloisfoods.com,19.1448455,61.40799500000001,FMP29345,EPA 2023
"A.V.V. Winery Co., LLC",Wineries,312130,8644 Highway 128,Healdsburg,CA,Sonoma,95448,7074337209,www.avvwine.com,137.3241925,440.47382500000003,FMP37317,EPA 2023
"A1 Bakery Dessert, Inc.",Retail Bakeries,311811,4213 Rosemead Blvd,Rosemead,CA,Los Angeles,91770,6262926988,,5.2802045,16.936505,FMP17269,EPA 2023
"A-1 Eastern-Home-Made Pickle Co., Inc.",Fruit and Vegetable Canning,311421,1832 Johnston St,Los Angeles,CA,Los Angeles,90031,3232231141,www.a1pickle.com,145.504027,466.71103000000005,FMP37382,EPA 2023
AA & A Bakery Corp.,Retail Bakeries,311811,1824 Tully Rd,San Jose,CA,Santa Clara,95122,,,2.153231,6.9065900000000005,FMP10276,EPA 2023
AB Mauri Food Inc.,Spice and Extract Manufacturing,311942,12604 Hiddencreek Way A,Cerritos,CA,Los Angeles,90703,5624834619,www.abmna.com,,,FMP40542,EPA 2023
Abat Recording Studio Ins,Animal (except Poultry) Slaughtering,311611,82 Leanna St,Chula Vista,CA,San Diego,91911,6194275718,,8.6534425,27.756325,FMP20459,EPA 2023
Abate Vineyard,Wineries,312130,15950 Sunnyside Ave,Morgan Hill,CA,Santa Clara,95037,,,15.891970500000001,50.974245,FMP26816,EPA 2023
Abby California Estate LLC,Wineries,312130,5737 Kanan Rd,Agoura Hills,CA,Los Angeles,91301,,,22.32413,71.6057,FMP31205,EPA 2023
ABC Bakers,Retail Bakeries,311811,2381 N Ventura Ave,Ventura,CA,Ventura,93001,,,19.9994705,64.14924500000001,FMP30013,EPA 2023
Abdullah H Baker,Retail Bakeries,311811,5860 E Nees Ave,Clovis,CA,Fresno,93611,5592998164,,24.4698085,78.488065,FMP32027,EPA 2023
"Abe's Famous Jerky, Inc.",Meat Processed from Carcasses,311612,13337 South St,Cerritos,CA,Los Angeles,90703,5626824738,,20.4942785,65.736365,FMP30242,EPA 2023
"Able and Baker, Inc.",Retail Bakeries,311811,2360 Eastman Ave Ste 112,Oxnard,CA,Ventura,93030,,www.ableandbakercabinets.com,3.016601,9.67589,FMP13551,EPA 2023
Abloom Bakeshop,Retail Bakeries,311811,9565 Slater Ave APT 2,Fountain Valley,CA,Orange,92708,8184612921,,1.4321925,4.593825000000001,FMP6145,EPA 2023
Abnormal Wine Company,Wineries,312130,16990 Via Tazon,San Diego,CA,San Diego,92127,8586182463,www.abnormalbeer.co,16.6510895,53.409155000000005,FMP27529,EPA 2023
Abp,Retail Bakeries,311811,5151 F St,Sacramento,CA,Sacramento,95819,,www.abpath.org,37.3134575,119.68467500000001,FMP34678,EPA 2023
"Abreu Vineyards, Inc.",Wineries,312130,156 Main St,Saint Helena,CA,Napa,94574,7079637487,www.abreuvineyards.com,26.408734,84.70726,FMP32628,EPA 2023
Acacia Bakery,Retail Bakeries,311811,235 S Pacific Ave Ste B,San Pedro,CA,Los Angeles,90731,3108339453,,1.402539,4.49871,FMP6035,EPA 2023
Acacia Bakery & Tortilleria,Retail Bakeries,311811,38 Rockinghorse Rd,Rancho Palos Verdes,CA,Los Angeles,90275,5624051305,,18.514755,59.386950000000006,FMP28875,EPA 2023
Acacia Vineyard,Wineries,312130,655 Airpark Rd,NAPA,CA,Napa,94558,7072993142,,33.0109175,105.88407500000001,FMP34152,EPA 2023
Acambaro Bakery,Retail Bakeries,311811,160 Soledad St,Soledad,CA,Monterey,93960,,,7.9458395,25.486655000000003,FMP19731,EPA 2023
Acambaro Gto Bakery,Retail Bakeries,311811,652 Plumas St,Yuba City,CA,Sutter,95991,5306717464,,2.65,8.5,FMP12430,EPA 2023
Accents NAPA Valley,Wineries,312130,1436 2nd St,NAPA,CA,Napa,94559,7073218321,www.bottlerocknapavalley.com,2.98284,9.5676,FMP13456,EPA 2023
Ace Almond Packing Inc,Roasted Nuts and Peanut Butter Manufacturing,311911,1555 Warren Rd,Ripon,CA,San Joaquin,95366,2095997444,www.almondace.com,15.40816,49.4224,FMP26381,EPA 2023
Ace Wine Co,Wineries,312130,3091 Vichy Ave,NAPA,CA,Napa,94558,7072521484,,39.6131275,127.06097500000001,FMP34915,EPA 2023
Acea Foods,All Other Miscellaneous Food Manufacturing,311999,2300 N Park Blvd,Pittsburg,CA,Contra Costa,94565,9256422712,,19.0809275,61.202975,FMP29302,EPA 2023
Acevedos Artisan Bakery LLC,Retail Bakeries,311811,37953 Avenue 12 1/4,Madera,CA,Madera,93636,,,10.979109,35.216010000000004,FMP22411,EPA 2023
"Acg Alchemical Distilling Co., LLC",Distilleries,312140,824 S Los Angeles St # 2,Los Angeles,CA,Los Angeles,90014,,,22.32413,71.6057,FMP31206,EPA 2023
"Ach Food Companies, Inc.",Fats and Oils Refining and Blending,311225,23541 Rustic Rd,Murrieta,CA,Riverside,92562,,www.achfood.com,,,FMP39984,EPA 2023
Ackerman Family Vineyards,Wineries,312130,608 Randolph St,NAPA,CA,Napa,94559,8552389463,www.ackermanfamilyvineyards.com,66.0218615,211.768235,FMP36229,EPA 2023
"Ackerman Heritage House, LLC",Wineries,312130,608 Randolph St,NAPA,CA,Napa,94559,7077992111,www.ackermanheritagehouse.com,66.0218615,211.768235,FMP36230,EPA 2023
Acme Bread Company Division Three,Commercial Bakeries,311812,352 E Grand Ave,South San Francisco,CA,San Mateo,94080,6509382978,www.acmebread.com,6.406746,20.549940000000003,FMP18222,EPA 2023
Acquiesce Winery & Vineyards,Wineries,312130,22353 N Tretheway Rd,Acampo,CA,San Joaquin,95220,2093336102,www.acquiescevineyards.com,17.331795,55.59255,FMP28048,EPA 2023
Acuacultura Integral De Bc SA,Seafood Product Preparation and Packaging,311710,Blvd Tniente Azueta 187,San Ysidro,CA,San Diego,92173,6199557892,,9.955679,31.933310000000002,FMP21620,EPA 2023
"Acuicola Alesstina, Inc",Seafood Product Preparation and Packaging,311710,9583 Slauson Ave,Pico Rivera,CA,Los Angeles,90660,5622863228,www.acuicolaalesstina.com,12.1336345,38.919205000000005,FMP23335,EPA 2023
Adam Tracy Tolmach,Wineries,312130,109 S Montgomery St Ste C,Ojai,CA,Ventura,93023,8057984610,www.ojaivineyard.com,3.108768,9.97152,FMP13774,EPA 2023
Adams Bakery,Retail Bakeries,311811,22761 Pacific Coast Hwy,Malibu,CA,Los Angeles,90265,,,0.8867430000000001,2.8442700000000003,FMP1749,EPA 2023
"Adam's Unique Eats & Treats, Inc.",Retail Bakeries,311811,6320 Canoga Ave Ste 1500,Woodland Hills,CA,Los Angeles,91367,8189350997,,12.34317,39.591300000000004,FMP23544,EPA 2023
"Adams Winery, LLC",Wineries,312130,9711 W Dr Creek Rd,Healdsburg,CA,Sonoma,95448,7073956126,,75.7914575,243.10467500000001,FMP36452,EPA 2023
Adana Bakery Inc.,Retail Bakeries,311811,12065 Branford St,Sun Valley,CA,Los Angeles,91352,,,0.9754120000000001,3.12868,FMP4114,EPA 2023
"Adastra Wines, Inc.",Wineries,312130,2545 Las Amigas Rd,NAPA,CA,Napa,94559,7072554818,www.adastrawines.com,13.204367,42.35363,FMP24361,EPA 2023
Adelaide Bakery LLC,Retail Bakeries,311811,2560 Progress St,Vista,CA,San Diego,92081,,,0.8867430000000001,2.8442700000000003,FMP1910,EPA 2023
Adelita's Bakery,Retail Bakeries,311811,14807 S Western Ave,Gardena,CA,Los Angeles,90249,3105325279,,12.34317,39.591300000000004,FMP23499,EPA 2023
"Adesa International, LLC",Specialty Canning,311422,1440 S Vineyard Ave,Ontario,CA,San Bernardino,91761,9093218240,,85.5137775,274.28947500000004,FMP36681,EPA 2023
"Adex Trading Partners, LLC",Animal (except Poultry) Slaughtering,311611,315 Montgomery St FL 9,San Francisco,CA,San Francisco,94104,4159677274,www.adextp.com,3.1597805,10.135145000000001,FMP13881,EPA 2023
Admiral Baker Pool,Retail Bakeries,311811,2400 Admiral Baker Rd,San Diego,CA,San Diego,92120,,,1.499211,4.80879,FMP6451,EPA 2023
Adry's Bakery LLC,Retail Bakeries,311811,170 22nd Ave,San Francisco,CA,San Francisco,94121,4156019217,,1.0327845,3.3127050000000002,FMP4587,EPA 2023
Advanced Fresh Concepts Franchise Corp.,Seafood Product Preparation and Packaging,311710,19205 S Laurel Park Rd,Rancho Dominguez,CA,Los Angeles,90220,3106043200,www.afcsushi.com,3.2353055,10.377395,FMP14139,EPA 2023
AFP Advanced Food Products LLC,All Other Miscellaneous Food Manufacturing,311999,1211 E Noble Ave,Visalia,CA,Tulare,93292,5596272070,www.afpllc.com,,,FMP40479,EPA 2023
AFP Advanced Food Products LLC,Fluid Milk Manufacturing,311511,900 N Plaza Dr,Visalia,CA,Tulare,93291,5596511737,www.afpllc.com,,,FMP43346,EPA 2023
"AG Commodities, Inc.",All Other Miscellaneous Food Manufacturing,311999,2913 El Cmino Real Ste 62,Tustin,CA,Orange,92782,7147827131,www.agcommoditiesinc.com,8.372622,26.855580000000003,FMP20120,EPA 2023
AG Works,All Other Miscellaneous Food Manufacturing,311999,2740 Colusa Hwy,Yuba City,CA,Sutter,95993,5306821749,,1.706653,5.47417,FMP8099,EPA 2023
"Agostino's Bakery, Inc.",Retail Bakeries,311811,4122 W Burbank Blvd,Burbank,CA,Los Angeles,91505,,,3.166962,10.158180000000002,FMP13897,EPA 2023
Aguilas,Spice and Extract Manufacturing,311942,10696 Los Alamitos Blvd,Los Alamitos,CA,Orange,90720,7142908248,,1.0490555,3.364895,FMP4665,EPA 2023
Aha Partners LLC,Wineries,312130,2121 Webster St APT 109,San Francisco,CA,San Francisco,94115,9494633335,,29.844194,95.72666000000001,FMP33573,EPA 2023
Ahabajawinetours,Wineries,312130,3941 Mason St Ste 2,San Diego,CA,San Diego,92110,6192528282,www.ahabajawinetours.com,6.6724615,21.402235,FMP18446,EPA 2023
"Ahhm, LLC",Retail Bakeries,311811,2511 Garden Rd Ste A300,Monterey,CA,Monterey,93940,,www.ahhm-radiant.com,13.905212500000001,44.601625000000006,FMP25018,EPA 2023
"Ahlmann, LLC",Wineries,312130,13372 Spruce Grove Rd,Lower Lake,CA,Lake,95457,,www.sixsigmaranch.com,1.1355250000000001,3.64225,FMP5190,EPA 2023
Ahualulco Bakery,Retail Bakeries,311811,3712 Railroad Ave,Pittsburg,CA,Contra Costa,94565,9255652649,,2.5082515,8.045335000000001,FMP11884,EPA 2023
"Ain't No Bull Bakery, LLC",Retail Bakeries,311811,1255 E Vista Way,Vista,CA,San Diego,92084,,,,,FMP43500,EPA 2023
Aireloom Bakery Inc.,Retail Bakeries,311811,10550 Riverside Dr,Toluca Lake,CA,Los Angeles,91602,8187541955,www.aeirloombakery.com,3.6092735,11.576915000000001,FMP14964,EPA 2023
Airola Road Vineyards LLC,Wineries,312130,24040 Cmino Del Avion Ste,Dana Point,CA,Orange,92629,,,18.6439425,59.801325000000006,FMP28996,EPA 2023
"Aj Treat, LP",Retail Bakeries,311811,5221 W Walnut Ave,Visalia,CA,Tulare,93277,5597472250,,18.375736,58.94104,FMP28749,EPA 2023
Aj's Bakery and Donuts,Retail Bakeries,311811,825 Anchor Ave,Orange Cove,CA,Fresno,93646,5596267812,,2.920353,9.367170000000002,FMP13286,EPA 2023
AJS Wines LLC,Wineries,312130,215 W 3rd St,Cloverdale,CA,Sonoma,95425,,,2.0783155,6.666295000000001,FMP9938,EPA 2023
AK Freight Solutions Inc.,Other Snack Food Manufacturing,311919,15928 Perris Blvd,Moreno Valley,CA,Riverside,92551,9519164565,www.tbratings.com,18.1472795,58.208255,FMP28618,EPA 2023
Aka,Wineries,312130,2300 NAPA Rd,Sonoma,CA,Sonoma,95476,7079391858,www.scribewinery.com,38.450758,123.33262,FMP34780,EPA 2023
Akash Winery & Vineyards LLC,Wineries,312130,39730 Calle Contento,Temecula,CA,Riverside,92591,7143069966,www.akashwinery.com,2.5497505,8.178445,FMP12049,EPA 2023
Akash Winery & Vineyards LLC,Wineries,312130,978 S Ladan Ln,Anaheim,CA,Orange,92808,,,1.973508,6.330120000000001,FMP9371,EPA 2023
Al Vino Lago LLC,Wineries,312130,480 Marquita Ave,Paso Robles,CA,San Luis Obispo,93446,8059148018,www.allagowines.com,15.946587000000001,51.14943,FMP26894,EPA 2023
Al-Baby Desserts,Retail Bakeries,311811,210 69th St,San Diego,CA,San Diego,92114,6192781676,,17.4637915,56.015935000000006,FMP28164,EPA 2023
Albert's Petite Sweets,Retail Bakeries,311811,1576 Stonewood CT,San Pedro,CA,Los Angeles,90732,5627619924,www.albertspetitesweets.com,2.5234625,8.094125,FMP11965,EPA 2023
Alchemy Bakery and Brew,Retail Bakeries,311811,12202 El Capitan Ave,Bakersfield,CA,Kern,93312,6615890557,,10.987801000000001,35.24389,FMP22449,EPA 2023
Aldabella Custom Crush,Wineries,312130,2629 Townsgate Rd Ste 200,Westlake Village,CA,Ventura,91361,,www.aldabellawinery.com,15.829987000000001,50.77543000000001,FMP26772,EPA 2023
Aldabella Custom Crush Winery & Storage LLC,Wineries,312130,31111 Via Colinas Ste 201,Westlake Village,CA,Ventura,91362,,www.aldabellawinery.com,2.7426175,8.797075000000001,FMP12699,EPA 2023
Aldar Bakery Inc.,Retail Bakeries,311811,1433 S Vernon St,Anaheim,CA,Orange,92805,7149911401,www.ocpita.com,31.4022615,100.72423500000001,FMP33840,EPA 2023
Alessio Foods Inc,All Other Miscellaneous Food Manufacturing,311999,181 E Orange Ave APT H4,Chula Vista,CA,San Diego,91911,6199549694,www.alessiofoods.com,6.671799,21.40011,FMP18445,EPA 2023
"Alewright, LLC",Breweries,312120,5049 6th St,Carpinteria,CA,Santa Barbara,93013,,,15.955279,51.177310000000006,FMP26913,EPA 2023
Alex Mendrin,Dried and Dehydrated Food Manufacturing,311423,18706 W Shields Ave,Kerman,CA,Fresno,93630,5598469141,,2.174113,6.9735700000000005,FMP10393,EPA 2023
Alexana Winery,Wineries,312130,2930 Saint Helena Hwy N,Saint Helena,CA,Napa,94574,,,26.408734,84.70726,FMP32643,EPA 2023
Alexander Baking Company,Commercial Bakeries,311812,9707 Marmot Way,Kelseyville,CA,Lake,95451,6263756131,,15.568909,49.938010000000006,FMP26596,EPA 2023
"Alexander Valley Cellars, LLC",Wineries,312130,6752 Washington St,Yountville,CA,Napa,94599,7079477030,www.stewartcellars.com,,,FMP42939,EPA 2023
"Alexander Valley Ventures, LLC",Wineries,312130,190 Foss Creek Cir Ste A,Healdsburg,CA,Sonoma,95448,,www.alexandervalley.org,2.728864,8.75296,FMP12666,EPA 2023
Alfa Alfajores Bakery,Retail Bakeries,311811,895 Park Blvd APT 209,San Diego,CA,San Diego,92101,7608222949,,0.8867430000000001,2.8442700000000003,FMP3508,EPA 2023
Alfie's Treats LLC,Retail Bakeries,311811,1395 N Eastern Ave,Los Angeles,CA,Los Angeles,90063,,,15.4289625,49.489125,FMP26422,EPA 2023
