name,naics_description,naics_code,address,city,state,county,zip,phone,website,excess_food_low,excess_food_high,unique_id,data_source,latitude,longitude,geocode_status
"22 Hundred Cellars, Inc",Wineries,312130,3070 Limestone Way,Paso Robles,CA,San Luis Obispo,93446,8052344920,,19.933247,63.93683000000001,FMP29961,EPA 2023,35.575840479085,-120.690575455784,success
2322 Vineyard LLC,Wineries,312130,2322 Vineyard Ave,Los Angeles,CA,Los Angeles,90016,,,22.32413,71.6057,FMP31196,EPA 2023,34.035833762981,-118.341429827409,success
2401 South Vineyard Avenue LLC,Wineries,312130,2401 S Vineyard Ave,Ontario,CA,San Bernardino,91761,9099235396,,22.1805265,71.14508500000001,FMP31104,EPA 2023,34.029819815092,-117.610910786296,success
2990 Grand Avenue LLC,Wineries,312130,2990 Grand Ave,Los Olivos,CA,Santa Barbara,93441,,www.refugioranch.com,19.1463295,61.412755000000004,FMP29352,EPA 2023,34.667146797261,-120.11491795707,success
2nd Nature LLC,Wet Corn Milling,311221,321 Frederick St,Santa Cruz,CA,Santa Cruz,95062,8314219023,www.2ndnaturellc.com,,,FMP41881,EPA 2023,36.974017842616,-122.003058929808,success
"2nd Story Bakeshop, LLC",Retail Bakeries,311811,2162 Sufonet Dr,San Jose,CA,Santa Clara,95124,4083983728,www.2ndstorybakeshop.com,4.206769,13.49341,FMP15999,EPA 2023,37.245411769962,-121.937130392366,success
"2plank Vineyards, LLC",Wineries,312130,6242 Ferris Sq,San Diego,CA,San Diego,92121,7602956612,www.2plankvineyards.com,30.2267215,96.953635,FMP33635,EPA 2023,32.890350758322,-117.18178115516,success
3 Badge Beverage Corporation,Wineries,312130,32 Patten St,Sonoma,CA,Sonoma,95476,7073431167,www.3badge.com,87.5952465,280.965885,FMP36719,EPA 2023,38.290133613273,-122.457749147328,success
"3 Oaks Vineyard, Inc.",Wineries,312130,8807 N Sunnyside Ave,Clovis,CA,Fresno,93619,,www.3oaksvineyard.com,15.2941835,49.056815,FMP26287,EPA 2023,36.86356927144,-119.693066694352,success
"3 Potato, LLC",Retail Bakeries,311811,3573 Sunnymead CT,San Jose,CA,Santa Clara,95117,4086135873,,1.8666070000000001,5.98723,FMP8920,EPA 2023,37.301794358368,-121.963119791829,success
3 Seas Bakery LLC,Retail Bakeries,311811,360 Grand Ave Ste 166,Oakland,CA,Alameda,94610,5109104496,,18.3464005,58.846945000000005,FMP28729,EPA 2023,37.809023959452,-122.255624494816,success
3 Steves Winery,Wineries,312130,5700 Greenville Rd,Livermore,CA,Alameda,94550,8312398971,www.3steveswinery.com,4.8116845,15.433705000000002,FMP16804,EPA 2023,37.65024510462,-121.696531675423,success
32 Below LLC,Retail Bakeries,311811,6362 E Andrews Ave,Fresno,CA,Fresno,93727,8177895717,,0.9754120000000001,3.12868,FMP4309,EPA 2023,36.780057831802,-119.674900328874,success
"33rd Street Cellars, LLC",Wineries,312130,3320 Santiago St,San Francisco,CA,San Francisco,94116,4158158843,,19.8961205,63.817745,FMP29936,EPA 2023,37.743782296493,-122.502874514136,success
3rd Street Bakery,Retail Bakeries,311811,917 Bluebell Way,San Luis Obispo,CA,San Luis Obispo,93401,8057041496,,14.669181,47.05209000000001,FMP25675,EPA 2023,35.2484144201,-120.638056656011,success
400 Baker LLC,Retail Bakeries,311811,17602 17th St,Tustin,CA,Orange,92780,,,0.8867430000000001,2.8442700000000003,FMP1409,EPA 2023,33.759774857595,-117.825461653861,success
401 Brew Street,Breweries,312120,401 B St Ste 300,San Diego,CA,San Diego,92101,8586920791,,18.891691,60.59599000000001,FMP29158,EPA 2023,32.717754943201,-117.161028998514,success
41 Olive,Fats and Oils Refining and Blending,311225,10 Hughes Ste 105,Irvine,CA,Orange,92618,9495295487,www.41olive.com,6.2562525,20.067225,FMP18116,EPA 2023,33.652057159997,-117.71762738484,success
"4110 Treat, LLC",Retail Bakeries,311811,1710 Belmont Rd,Concord,CA,Contra Costa,94520,,,1.467358,4.70662,FMP6222,EPA 2023,37.968222938031,-122.045410548677,success
4-Paw Treats Inc,Retail Bakeries,311811,2345 Michael Faraday Dr,San Diego,CA,San Diego,92154,6198824609,,17.4637915,56.015935000000006,FMP28166,EPA 2023,32.555694175726,-116.931925172364,success
"5 Star Bakery Products, LLC",Retail Bakeries,311811,581 Iowa Ave Ste A-B,Riverside,CA,Riverside,92507,8055011550,www.5starbakeryproducts.com,5.276998,16.92622,FMP17266,EPA 2023,34.010278303089,-117.339952788232,success
"54 Vines, LLC",Wineries,312130,6942 Quito CT,Camarillo,CA,Ventura,93012,8052361679,,19.8464595,63.658455000000004,FMP29876,EPA 2023,34.234751853619,-118.971847810696,success
55 Degree Wine,Wineries,312130,3111 Glendale Blvd Ste 2,Los Angeles,CA,Los Angeles,90039,3236625556,www.55degreewine.com,55.8103515,179.01433500000002,FMP35911,EPA 2023,34.116398197377,-118.262860654596,success
"6500 Brem, LLC",Wineries,312130,4005 Hecker Pass Rd,Gilroy,CA,Santa Clara,95020,4088424100,www.jstephens.com,27.810955,89.20495000000001,FMP33112,EPA 2023,37.013595712389,-121.645048981678,success
6630 Andis Wines C O Perf,Wineries,312130,11000 Shenandoah Rd,Plymouth,CA,Amador,95669,2092456177,www.andiswines.com,24.0699765,77.205585,FMP31908,EPA 2023,38.521084837447,-120.820182737805,success
"689 Cellars, L.P.",Wineries,312130,135 3rd St Ste 100,San Rafael,CA,Marin,94901,,,1.733206,5.559340000000001,FMP8170,EPA 2023,37.969074579603,-122.513075211584,success
7 Deadly Confections,Retail Bakeries,311811,1562 Ranch St,Perris,CA,Riverside,92571,,,0.8867430000000001,2.8442700000000003,FMP1249,EPA 2023,33.837066452211,-117.192563587851,success
7 Seas Kombucha LLC,Soft Drink Manufacturing,312111,2745 Costebelle Dr,La Jolla,CA,San Diego,92037,,,11.335004,36.35756,FMP22745,EPA 2023,32.850289594945,-117.244014446338,success
7 -Up RC Bottling Co of San Diego,Soft Drink Manufacturing,312111,7598 Trade St,San Diego,CA,San Diego,92121,8586958263,,17.0607265,54.723085000000005,FMP27846,EPA 2023,32.889149225715,-117.158945832083,success
"714 N. Spaulding Ave., LLC",Retail Bakeries,311811,714 N Spaulding Ave,Los Angeles,CA,Los Angeles,90046,3106145693,www.maisonrichard.com,1.240147,3.9778300000000004,FMP5540,EPA 2023,34.084000746162,-118.35730087742,success
"7787 St. Helena Hwy, L.P.",Wineries,312130,5091 Solano Ave,NAPA,CA,Napa,94558,,www.sthelena.com,1.8656,5.984,FMP8903,EPA 2023,38.356326822413,-122.333915773666,success
7up Bottling,Soft Drink Manufacturing,312111,5604 Ashbourne Way,Antioch,CA,Contra Costa,94531,5107728573,,13.751539000000001,44.10871,FMP24919,EPA 2023,37.967469948291,-121.747537367618,success
"828 Coffee, Inc.",Coffee and Tea Manufacturing,311920,5562 Club View Dr,Yorba Linda,CA,Orange,92886,7605800239,,24.142083,77.43687,FMP31922,EPA 2023,33.880825562772,-117.795914082595,success
85c Bakery Cafe,Retail Bakeries,311811,1100 Irvine Blvd,Tustin,CA,Orange,92780,7145057885,,0.8867430000000001,2.8442700000000003,FMP1853,EPA 2023,33.748173858156,-117.811872002573,success
85c Bakery Cafe,Retail Bakeries,311811,3361 Rosecrans St Ste A,San Diego,CA,San Diego,92110,,,0.8867430000000001,2.8442700000000003,FMP2259,EPA 2023,32.7487615667,-117.206849807668,success
85c Bakery Cafe,Retail Bakeries,311811,9046 Tampa Ave,Northridge,CA,Los Angeles,91324,8185769885,,0.8867430000000001,2.8442700000000003,FMP730,EPA 2023,34.234698577044,-118.553498444551,success
"8th Street Bakery, Inc.",Retail Bakeries,311811,4152 W Washington Blvd,Los Angeles,CA,Los Angeles,90018,3235198207,,2.0174715,6.471135,FMP9644,EPA 2023,34.039817528956,-118.329824656347,success
98 & Up,Soft Drink Manufacturing,312111,7922 Carlyle Dr,Riverside,CA,Riverside,92509,,,13.6188535,43.683115,FMP24795,EPA 2023,33.973730382117,-117.456505213044,success
"A & R Bakery, Inc.",Retail Bakeries,311811,13221 Harbor Blvd,Garden Grove,CA,Orange,92843,,,2.5561635000000003,8.199015000000001,FMP12077,EPA 2023,33.771238097818,-117.920452778348,success
A & R Distillery LLC,Distilleries,312140,2766 Via Orange Way Ste O,Spring Valley,CA,San Diego,91978,8584052278,,15.1133475,48.476775,FMP26142,EPA 2023,32.729100881831,-116.968248125792,success
A 7 H Bakery,Retail Bakeries,311811,566 Paraiso Ave Ste D,Spring Valley,CA,San Diego,91977,6197543946,,1.998895,6.41155,FMP9510,EPA 2023,32.707210051497,-116.996329307529,success
A and G Bakery Inc,Retail Bakeries,311811,12630 Raymer St,North Hollywood,CA,Los Angeles,91605,8187934777,,2.899683,9.300870000000002,FMP13165,EPA 2023,34.203284960299,-118.40756801947,success
"A Dollicious Dessert, LLC",Retail Bakeries,311811,40703 Geyser St,Murrieta,CA,Riverside,92562,,,0.8867430000000001,2.8442700000000003,FMP2490,EPA 2023,33.568705856845,-117.200205663694,success
"A Donkey and Goat, LLC",Wineries,312130,1340 5th St,Berkeley,CA,Alameda,94710,5108689174,www.a-donkey-and-goat-llc.hub.biz,14.285832000000001,45.822480000000006,FMP25361,EPA 2023,37.878342716943,-122.302366408822,success
"A Girl, A Boy, & A Grape LLC",Wineries,312130,968 Capitola Dr,NAPA,CA,Napa,94559,,,2.367722,7.5945800000000006,FMP11268,EPA 2023,38.294024792522,-122.27212031406,success
A La Citron Bakers,Retail Bakeries,311811,12164 Oxnard St APT 10,North Hollywood,CA,Los Angeles,91606,,,0.8867430000000001,2.8442700000000003,FMP891,EPA 2023,34.179345843145,-118.3987830341,success
A M E X Distribution Co,Commercial Bakeries,311812,11085 Commercial Pkwy,Castroville,CA,Monterey,95012,8316338551,,7.9458395,25.486655000000003,FMP19729,EPA 2023,36.75418294593,-121.738530246971,success
A Neva Bakery Inc,Retail Bakeries,311811,26882 The Old Rd,Valencia,CA,Los Angeles,91381,,,0.8867430000000001,2.8442700000000003,FMP1973,EPA 2023,34.410726325,-118.579045984631,success
A Vie Bakery,Retail Bakeries,311811,923 S Bascom Ave,San Jose,CA,Santa Clara,95128,4086841888,www.aviebakery.com,1.499211,4.80879,FMP6606,EPA 2023,37.309554764087,-121.93185194741,success
A&J Bakery,Retail Bakeries,311811,1300 E Main St Ste 102,Alhambra,CA,Los Angeles,91801,6262825436,,2.5166785,8.072365000000001,FMP11919,EPA 2023,34.101404094878,-118.113518013597,success
A&M Dessert LLC,Retail Bakeries,311811,7708 Agate Beach Way,Antelope,CA,Sacramento,95843,,,0.8867430000000001,2.8442700000000003,FMP3316,EPA 2023,38.706182285988,-121.351203300863,success
"A. Nonini Winery, Inc.",Wineries,312130,2640 N Dickenson Ave,Fresno,CA,Fresno,93723,5592751936,www.noniniwinery.com,25.490297,81.76133,FMP32359,EPA 2023,36.777443214622,-119.970007276962,success
A. Rafanelli Winery and Vineyards LP,Wineries,312130,4685 W Dry Creek Rd,Healdsburg,CA,Sonoma,95448,7074331385,www.arafanelliwinery.com,3.21127,10.3003,FMP14078,EPA 2023,38.653584057056,-122.935005069906,success
"A.C. Calderoni & Co., Inc.",All Other Miscellaneous Food Manufacturing,311999,99 N Hill Dr,Brisbane,CA,San Mateo,94005,4154682282,www.accalderoni.com,30.405941000000002,97.52849,FMP33678,EPA 2023,37.690384352858,-122.407317588361,success
"A.J. Sons, Inc.",Frozen Specialty Food Manufacturing,311412,2975 Laguna Canyon Rd,Laguna Beach,CA,Orange,92651,9494971741,www.langloisfoods.com,19.1448455,61.40799500000001,FMP29345,EPA 2023,33.563769168137,-117.764008065042,success
"A.V.V. Winery Co., LLC",Wineries,312130,8644 Highway 128,Healdsburg,CA,Sonoma,95448,7074337209,www.avvwine.com,137.3241925,440.47382500000003,FMP37317,EPA 2023,38.653314511165,-122.789182966181,success
"A1 Bakery Dessert, Inc.",Retail Bakeries,311811,4213 Rosemead Blvd,Rosemead,CA,Los Angeles,91770,6262926988,,5.2802045,16.936505,FMP17269,EPA 2023,34.083773240149,-118.073397018491,success
"A-1 Eastern-Home-Made Pickle Co., Inc.",Fruit and Vegetable Canning,311421,1832 Johnston St,Los Angeles,CA,Los Angeles,90031,3232231141,www.a1pickle.com,145.504027,466.71103000000005,FMP37382,EPA 2023,34.064972051358,-118.210109839488,success
AA & A Bakery Corp.,Retail Bakeries,311811,1824 Tully Rd,San Jose,CA,Santa Clara,95122,,,2.153231,6.9065900000000005,FMP10276,EPA 2023,37.323224571019,-121.824516470635,success
AB Mauri Food Inc.,Spice and Extract Manufacturing,311942,12604 Hiddencreek Way A,Cerritos,CA,Los Angeles,90703,5624834619,www.abmna.com,,,FMP40542,EPA 2023,33.884698869499,-118.063866044253,success
Abat Recording Studio Ins,Animal (except Poultry) Slaughtering,311611,82 Leanna St,Chula Vista,CA,San Diego,91911,6194275718,,8.6534425,27.756325,FMP20459,EPA 2023,32.617437772609,-117.052488777523,success
Abby California Estate LLC,Wineries,312130,5737 Kanan Rd,Agoura Hills,CA,Los Angeles,91301,,,22.32413,71.6057,FMP31205,EPA 2023,34.154462897571,-118.756969505884,success
ABC Bakers,Retail Bakeries,311811,2381 N Ventura Ave,Ventura,CA,Ventura,93001,,,19.9994705,64.14924500000001,FMP30013,EPA 2023,34.304872376703,-119.293737491184,success
"Abe's Famous Jerky, Inc.",Meat Processed from Carcasses,311612,13337 South St,Cerritos,CA,Los Angeles,90703,5626824738,,20.4942785,65.736365,FMP30242,EPA 2023,33.858733771141,-118.047496786487,success
"Able and Baker, Inc.",Retail Bakeries,311811,2360 Eastman Ave Ste 112,Oxnard,CA,Ventura,93030,,www.ableandbakercabinets.com,3.016601,9.67589,FMP13551,EPA 2023,34.198929219029,-119.146228910134,success
Abloom Bakeshop,Retail Bakeries,311811,9565 Slater Ave APT 2,Fountain Valley,CA,Orange,92708,8184612921,,1.4321925,4.593825000000001,FMP6145,EPA 2023,33.708852189508,-117.962045185081,success
Abnormal Wine Company,Wineries,312130,16990 Via Tazon,San Diego,CA,San Diego,92127,8586182463,www.abnormalbeer.co,16.6510895,53.409155000000005,FMP27529,EPA 2023,33.02424232125,-117.085359925484,success
Abp,Retail Bakeries,311811,5151 F St,Sacramento,CA,Sacramento,95819,,www.abpath.org,37.3134575,119.68467500000001,FMP34678,EPA 2023,38.570598346499,-121.438875983547,success
"Abreu Vineyards, Inc.",Wineries,312130,156 Main St,Saint Helena,CA,Napa,94574,7079637487,www.abreuvineyards.com,26.408734,84.70726,FMP32628,EPA 2023,38.495576212622,-122.457694947796,success
Acacia Bakery,Retail Bakeries,311811,235 S Pacific Ave Ste B,San Pedro,CA,Los Angeles,90731,3108339453,,1.402539,4.49871,FMP6035,EPA 2023,33.742051634833,-118.287953881504,success
Acacia Bakery & Tortilleria,Retail Bakeries,311811,38 Rockinghorse Rd,Rancho Palos Verdes,CA,Los Angeles,90275,5624051305,,18.514755,59.386950000000006,FMP28875,EPA 2023,33.758881906113,-118.325632473172,success
Acacia Vineyard,Wineries,312130,655 Airpark Rd,NAPA,CA,Napa,94558,7072993142,,33.0109175,105.88407500000001,FMP34152,EPA 2023,38.216842275975,-122.268243355625,success
Acambaro Bakery,Retail Bakeries,311811,160 Soledad St,Soledad,CA,Monterey,93960,,,7.9458395,25.486655000000003,FMP19731,EPA 2023,36.426812513022,-121.327536209341,success
Acambaro Gto Bakery,Retail Bakeries,311811,652 Plumas St,Yuba City,CA,Sutter,95991,5306717464,,2.65,8.5,FMP12430,EPA 2023,39.136893206195,-121.616069005025,success
Accents NAPA Valley,Wineries,312130,1436 2nd St,NAPA,CA,Napa,94559,7073218321,www.bottlerocknapavalley.com,2.98284,9.5676,FMP13456,EPA 2023,38.296805358782,-122.288398926701,success
Ace Almond Packing Inc,Roasted Nuts and Peanut Butter Manufacturing,311911,1555 Warren Rd,Ripon,CA,San Joaquin,95366,2095997444,www.almondace.com,15.40816,49.4224,FMP26381,EPA 2023,37.755988877375,-121.133563041226,success
Ace Wine Co,Wineries,312130,3091 Vichy Ave,NAPA,CA,Napa,94558,7072521484,,39.6131275,127.06097500000001,FMP34915,EPA 2023,38.328047271196,-122.252964417115,success
Acea Foods,All Other Miscellaneous Food Manufacturing,311999,2300 N Park Blvd,Pittsburg,CA,Contra Costa,94565,9256422712,,19.0809275,61.202975,FMP29302,EPA 2023,38.01147395664,-121.856766997276,success
Acevedos Artisan Bakery LLC,Retail Bakeries,311811,37953 Avenue 12 1/4,Madera,CA,Madera,93636,,,10.979109,35.216010000000004,FMP22411,EPA 2023,36.926719245416,-119.859391008534,success
"Acg Alchemical Distilling Co., LLC",Distilleries,312140,824 S Los Angeles St # 2,Los Angeles,CA,Los Angeles,90014,,,22.32413,71.6057,FMP31206,EPA 2023,34.041560879819,-118.252729038939,success
"Ach Food Companies, Inc.",Fats and Oils Refining and Blending,311225,23541 Rustic Rd,Murrieta,CA,Riverside,92562,,www.achfood.com,,,FMP39984,EPA 2023,33.569146906162,-117.25168230406,success
Ackerman Family Vineyards,Wineries,312130,608 Randolph St,NAPA,CA,Napa,94559,8552389463,www.ackermanfamilyvineyards.com,66.0218615,211.768235,FMP36229,EPA 2023,38.295374635305,-122.285506635327,success
"Ackerman Heritage House, LLC",Wineries,312130,608 Randolph St,NAPA,CA,Napa,94559,7077992111,www.ackermanheritagehouse.com,66.0218615,211.768235,FMP36230,EPA 2023,38.295374635305,-122.285506635327,success
Acme Bread Company Division Three,Commercial Bakeries,311812,352 E Grand Ave,South San Francisco,CA,San Mateo,94080,6509382978,www.acmebread.com,6.406746,20.549940000000003,FMP18222,EPA 2023,37.651625483489,-122.388645814532,success
Acquiesce Winery & Vineyards,Wineries,312130,22353 N Tretheway Rd,Acampo,CA,San Joaquin,95220,2093336102,www.acquiescevineyards.com,17.331795,55.59255,FMP28048,EPA 2023,38.188581418386,-121.17974007156,success
"Acuicola Alesstina, Inc",Seafood Product Preparation and Packaging,311710,9583 Slauson Ave,Pico Rivera,CA,Los Angeles,90660,5622863228,www.acuicolaalesstina.com,12.1336345,38.919205000000005,FMP23335,EPA 2023,33.967828082199,-118.094614945699,success
Adam Tracy Tolmach,Wineries,312130,109 S Montgomery St Ste C,Ojai,CA,Ventura,93023,8057984610,www.ojaivineyard.com,3.108768,9.97152,FMP13774,EPA 2023,34.447832769085,-119.243551344431,success
"Adam's Unique Eats & Treats, Inc.",Retail Bakeries,311811,6320 Canoga Ave Ste 1500,Woodland Hills,CA,Los Angeles,91367,8189350997,,12.34317,39.591300000000004,FMP23544,EPA 2023,34.184997572152,-118.597303063398,success
"Adams Winery, LLC",Wineries,312130,9711 W Dr Creek Rd,Healdsburg,CA,Sonoma,95448,7073956126,,75.7914575,243.10467500000001,FMP36452,EPA 2023,38.705787626857,-122.979219526928,success
Adana Bakery Inc.,Retail Bakeries,311811,12065 Branford St,Sun Valley,CA,Los Angeles,91352,,,0.9754120000000001,3.12868,FMP4114,EPA 2023,34.253237634169,-118.396434205312,success
"Adastra Wines, Inc.",Wineries,312130,2545 Las Amigas Rd,NAPA,CA,Napa,94559,7072554818,www.adastrawines.com,13.204367,42.35363,FMP24361,EPA 2023,38.230209716427,-122.332613383591,success
Adelaide Bakery LLC,Retail Bakeries,311811,2560 Progress St,Vista,CA,San Diego,92081,,,0.8867430000000001,2.8442700000000003,FMP1910,EPA 2023,33.147059887762,-117.218093704435,success
Adelita's Bakery,Retail Bakeries,311811,14807 S Western Ave,Gardena,CA,Los Angeles,90249,3105325279,,12.34317,39.591300000000004,FMP23499,EPA 2023,33.897031301842,-118.309200379809,success
"Adesa International, LLC",Specialty Canning,311422,1440 S Vineyard Ave,Ontario,CA,San Bernardino,91761,9093218240,,85.5137775,274.28947500000004,FMP36681,EPA 2023,34.047801767329,-117.610987673298,success
"Adex Trading Partners, LLC",Animal (except Poultry) Slaughtering,311611,315 Montgomery St FL 9,San Francisco,CA,San Francisco,94104,4159677274,www.adextp.com,3.1597805,10.135145000000001,FMP13881,EPA 2023,37.792062451487,-122.40267800111,success
Admiral Baker Pool,Retail Bakeries,311811,2400 Admiral Baker Rd,San Diego,CA,San Diego,92120,,,1.499211,4.80879,FMP6451,EPA 2023,32.793457251209,-117.105181093428,success
Adry's Bakery LLC,Retail Bakeries,311811,170 22nd Ave,San Francisco,CA,San Francisco,94121,4156019217,,1.0327845,3.3127050000000002,FMP4587,EPA 2023,37.784586580307,-122.481760252481,success
Advanced Fresh Concepts Franchise Corp.,Seafood Product Preparation and Packaging,311710,19205 S Laurel Park Rd,Rancho Dominguez,CA,Los Angeles,90220,3106043200,www.afcsushi.com,3.2353055,10.377395,FMP14139,EPA 2023,33.856677180026,-118.219870500929,success
AFP Advanced Food Products LLC,All Other Miscellaneous Food Manufacturing,311999,1211 E Noble Ave,Visalia,CA,Tulare,93292,5596272070,www.afpllc.com,,,FMP40479,EPA 2023,36.326321146803,-119.279763242707,success
"AG Commodities, Inc.",All Other Miscellaneous Food Manufacturing,311999,2913 El Cmino Real Ste 62,Tustin,CA,Orange,92782,7147827131,www.agcommoditiesinc.com,8.372622,26.855580000000003,FMP20120,EPA 2023,33.724960062878,-117.79447217821,success
AG Works,All Other Miscellaneous Food Manufacturing,311999,2740 Colusa Hwy,Yuba City,CA,Sutter,95993,5306821749,,1.706653,5.47417,FMP8099,EPA 2023,39.141330427389,-121.6666403388,success
"Agostino's Bakery, Inc.",Retail Bakeries,311811,4122 W Burbank Blvd,Burbank,CA,Los Angeles,91505,,,3.166962,10.158180000000002,FMP13897,EPA 2023,34.173141903362,-118.354657953422,success
Aguilas,Spice and Extract Manufacturing,311942,10696 Los Alamitos Blvd,Los Alamitos,CA,Orange,90720,7142908248,,1.0490555,3.364895,FMP4665,EPA 2023,33.807343064902,-118.071661406853,success
Aha Partners LLC,Wineries,312130,2121 Webster St APT 109,San Francisco,CA,San Francisco,94115,9494633335,,29.844194,95.72666000000001,FMP33573,EPA 2023,37.79024565343,-122.432500884979,success
Ahabajawinetours,Wineries,312130,3941 Mason St Ste 2,San Diego,CA,San Diego,92110,6192528282,www.ahabajawinetours.com,6.6724615,21.402235,FMP18446,EPA 2023,32.752805300249,-117.197597648692,success
"Ahhm, LLC",Retail Bakeries,311811,2511 Garden Rd Ste A300,Monterey,CA,Monterey,93940,,www.ahhm-radiant.com,13.905212500000001,44.601625000000006,FMP25018,EPA 2023,36.586202994106,-121.85354721717,success
"Ahlmann, LLC",Wineries,312130,13372 Spruce Grove Rd,Lower Lake,CA,Lake,95457,,www.sixsigmaranch.com,1.1355250000000001,3.64225,FMP5190,EPA 2023,38.862169542079,-122.564093830139,success
Ahualulco Bakery,Retail Bakeries,311811,3712 Railroad Ave,Pittsburg,CA,Contra Costa,94565,9255652649,,2.5082515,8.045335000000001,FMP11884,EPA 2023,38.006412909376,-121.893410892645,success
"Ain't No Bull Bakery, LLC",Retail Bakeries,311811,1255 E Vista Way,Vista,CA,San Diego,92084,,,,,FMP43500,EPA 2023,33.215002267391,-117.227802175189,success
Aireloom Bakery Inc.,Retail Bakeries,311811,10550 Riverside Dr,Toluca Lake,CA,Los Angeles,91602,8187541955,www.aeirloombakery.com,3.6092735,11.576915000000001,FMP14964,EPA 2023,34.152138843938,-118.360452020439,success
"Aj Treat, LP",Retail Bakeries,311811,5221 W Walnut Ave,Visalia,CA,Tulare,93277,5597472250,,18.375736,58.94104,FMP28749,EPA 2023,36.312714679227,-119.348401067406,success
Aj's Bakery and Donuts,Retail Bakeries,311811,825 Anchor Ave,Orange Cove,CA,Fresno,93646,5596267812,,2.920353,9.367170000000002,FMP13286,EPA 2023,36.621236759524,-119.322810284662,success
AJS Wines LLC,Wineries,312130,215 W 3rd St,Cloverdale,CA,Sonoma,95425,,,2.0783155,6.666295000000001,FMP9938,EPA 2023,38.807195123508,-123.020036312421,success
AK Freight Solutions Inc.,Other Snack Food Manufacturing,311919,15928 Perris Blvd,Moreno Valley,CA,Riverside,92551,9519164565,www.tbratings.com,18.1472795,58.208255,FMP28618,EPA 2023,33.890952878857,-117.226134670171,success
Aka,Wineries,312130,2300 NAPA Rd,Sonoma,CA,Sonoma,95476,7079391858,www.scribewinery.com,38.450758,123.33262,FMP34780,EPA 2023,38.269924310696,-122.413936339754,success
Akash Winery & Vineyards LLC,Wineries,312130,39730 Calle Contento,Temecula,CA,Riverside,92591,7143069966,www.akashwinery.com,2.5497505,8.178445,FMP12049,EPA 2023,33.53762806843,-117.075200722388,success
Akash Winery & Vineyards LLC,Wineries,312130,978 S Ladan Ln,Anaheim,CA,Orange,92808,,,1.973508,6.330120000000001,FMP9371,EPA 2023,33.855198222613,-117.735837382002,success
Al Vino Lago LLC,Wineries,312130,480 Marquita Ave,Paso Robles,CA,San Luis Obispo,93446,8059148018,www.allagowines.com,15.946587000000001,51.14943,FMP26894,EPA 2023,35.575137838039,-120.68999628127,success
